"","Bayes.Estimate","lower","upper","X1L","Bayes.Estimate.1","lower.1","upper.1","X2L","Bayes.Estimate.2","lower.2","upper.2","X3L","Bayes.Estimate.3","lower.3","upper.3","X4L","Bayes.Estimate.4","lower.4","upper.4","X5L","Bayes.Estimate.5","lower.5","upper.5","X6L","Bayes.Estimate.6","lower.6","upper.6","X7L","Bayes.Estimate.7","lower.7","upper.7","X8L","Bayes.Estimate.8","lower.8","upper.8","X9L"
"(Intercept)",-8.386365014254,-9.6974221967527,-7.20573879390123,1,-3.69113490680489,-4.19648705749283,-3.26024337142873,2,-2.03924863083304,-2.42246866836763,-1.69902502027491,3,-1.19191048956238,-1.55411712170101,-0.897462803397193,4,-0.664232267381616,-0.973553399216041,-0.384247123551094,5,-0.273372786571664,-0.594591452135351,0.0348738715491076,6,0.125373101388679,-0.258951801295201,0.499201281765153,7,0.788210656137581,0.0828566521756286,1.50816275194863,8,2.82977917488197,1.38430537627727,4.10837548359887,9
"CurrentlyInGroup_Find",1.68471148767435,1.25021716169794,2.15722147679686,1,0.854820781885782,0.666557583787358,1.06821697073907,2,0.575264845609622,0.445871335839006,0.710914903660984,3,0.447691443473317,0.334735303223266,0.556322642735019,4,0.415296362744536,0.317359141072502,0.522926534327199,5,0.496972316780895,0.373670558562049,0.618311333858559,6,0.642207957186193,0.49394875777442,0.789915363094175,7,0.982597420299131,0.766440433737356,1.22154759396143,8,1.86133180762724,1.47866701592416,2.25295125727215,9
"IR_1ind",1.01439380174315,0.461502881093449,1.70346407555489,1,0.494798322042967,0.254109315657802,0.757171582867794,2,0.312024979741859,0.13307307026509,0.484364888673293,3,0.210037968283087,0.082063836134103,0.356558260089643,4,0.199521634361149,0.0581896433640694,0.339327089189529,5,0.202952977709393,0.0449324307012139,0.364098784035892,6,0.241622845400572,0.0650553624275411,0.44743565328189,7,0.419120461527457,0.0846487499005281,0.693775029602847,8,0.842255297725811,0.0852712334421212,1.41648304847643,9
"IR_2ind",1.31045888214573,0.71899210616979,1.94086517732182,1,0.637445467812031,0.363537076572617,0.876644389458282,2,0.430211087572742,0.276003046109707,0.61751640066179,3,0.317213338594015,0.201222678173302,0.461672596594327,4,0.29965274369668,0.155721653503612,0.430389722452537,5,0.350622453501921,0.164376568762377,0.504564114245248,6,0.417818014322983,0.228144986604925,0.645382394057077,7,0.73596931425304,0.462914939589091,1.02265829615439,8,1.45639119377583,0.702958162421668,1.98181058950439,9
"ListingCategory__numeric",0.112789147195391,0.0287549447403273,0.192940959704828,1,0.0584147656817123,0.01884870559079,0.100969198956707,2,0.0429368112461012,0.0119717160106366,0.0706511761173372,3,0.0488967027141134,0.0233216677617911,0.075650892108189,4,0.0583663348036015,0.0347126374558643,0.0845733856536891,5,0.0799305755563605,0.0487322038752266,0.110680735827768,6,0.100166580112022,0.0579169488138812,0.143412861249823,7,0.17251771414166,0.0941123510724593,0.238648609427948,8,0.315367396622679,0.206111288197626,0.434269675135492,9
"OpenRevolvingMonthlyPayment_num",-0.000232056662219108,-0.000722046448198988,0.000155165675333958,1,-1.50103905417865e-05,-0.000303292556294463,0.000255333086574492,2,1.20193692464754e-06,-0.000190751073528239,0.000166910040468132,3,-2.05357686646041e-05,-0.000197658818633316,0.0001480658568683,4,-2.64088000532449e-05,-0.000193709482984852,0.000120928451898786,5,-2.01040490403193e-05,-0.000170605889189576,0.000137252696803184,6,-1.40123723098453e-05,-0.000217465626151396,0.000200386777185472,7,-1.29680063258606e-06,-0.0002930505632957,0.000326403691507392,8,-9.74533596275565e-05,-0.000577001344882053,0.000448758700758004,9
"TotalInquiries_num",0.00124560449323319,-0.0128301714633367,0.0131066677533241,1,0.000422101062148838,-0.00720833260328343,0.00828727671738279,2,-0.00129544008858911,-0.00629405815005615,0.00317148699070104,3,-0.000781396123322775,-0.00485445399012843,0.00327677789325217,4,-0.00160988053992097,-0.00529821662821948,0.00271779614141022,5,-0.00188010064342542,-0.00615490891653555,0.00204216960348399,6,-0.00238361417600808,-0.00865866228266782,0.00237416933671537,7,-0.0018981591514417,-0.00916653939579791,0.00497030562718615,8,-0.00838442238252839,-0.0188667994161849,0.00395527963344481,9
"AmountDelinquent_num",2.3329450618943e-05,5.07428926079264e-06,4.51742771828236e-05,1,1.80276575197894e-05,3.76196171588082e-06,3.37860428402327e-05,2,1.62602138165639e-05,3.79947233933705e-06,3.10044555033585e-05,3,1.8613000098786e-05,7.66592326640274e-06,3.04255406565968e-05,4,1.80350052403697e-05,6.21437496925687e-06,3.00035570347304e-05,5,2.13687429832887e-05,8.45629878892216e-06,3.46946269111662e-05,6,3.08101750074395e-05,1.02320420828194e-05,5.16168125078366e-05,7,4.60764785604503e-05,2.0580287106806e-05,7.61358555920559e-05,8,8.92103660409178e-05,4.12778468658103e-05,0.000133047846742508,9
"RevolvingCreditBalance_num",1.14010252085505e-05,6.04163141654132e-06,1.72288598055887e-05,1,4.68935587215248e-06,6.4228187355913e-07,9.19380934500738e-06,2,3.68398483827368e-06,9.645593712378e-07,6.71375357698537e-06,3,3.48237318417586e-06,7.78446275415524e-07,6.18330061538481e-06,4,3.31813014560413e-06,6.97432215657691e-07,6.07991598747213e-06,5,4.08261127706015e-06,1.13102815360572e-06,6.94255670603631e-06,6,4.60690377902692e-06,9.77011172034891e-07,8.66763676561928e-06,7,7.07733836643655e-06,1.74224752044548e-06,1.3297812627347e-05,8,1.48981826122223e-05,5.84556250644419e-06,2.41737631501376e-05,9
"BankcardUtilization_num",-0.775521457126937,-1.30420094607568,-0.199302773703074,1,-0.393367243830988,-0.620092453882346,-0.163221917910736,2,-0.303855707402544,-0.458376868803123,-0.129206745989212,3,-0.268238586892664,-0.398637308842104,-0.111844897352649,4,-0.286511741611463,-0.438757115696781,-0.135951628964695,5,-0.359112784880549,-0.526463475904333,-0.189854550689685,6,-0.468416936629727,-0.675084121420458,-0.255436565343601,7,-0.759738720238644,-1.03876278740052,-0.345558713518455,8,-1.57820609607054,-2.31956197914977,-0.594972877307088,9
"TradesNeverDelinquentpercent_num",3.27493185327867,2.17848835182096,4.62478745433087,1,1.71240721212918,1.21366536247032,2.22349118274197,2,1.2123192287809,0.861839824008751,1.60515918732467,3,0.982083591282614,0.692083849634487,1.29342555353006,4,0.924192501322055,0.660449466545557,1.22483006805745,5,1.05185054807356,0.664317392900652,1.3955926468929,6,1.44262583045811,1.07435236936705,1.80470373966623,7,2.19147608213256,1.55021112152833,2.8765379635839,8,4.37127802282014,3.22108827338162,5.55708804835787,9
"DebtToIncomeRatio_num",0.162271380132391,-0.00213943267505027,0.312690275408306,1,0.065683146390526,-0.0281553416419074,0.138925463394326,2,0.0325808994744201,-0.0311255453770726,0.0885269633803201,3,0.0315517789358215,-0.0178609867697414,0.0860067754783909,4,0.0304677534572681,-0.019369337880903,0.084439440502446,5,0.0462543449366312,-0.0116530553001819,0.111547125048556,6,0.0516647059251834,-0.0163557019188692,0.122809355063249,7,0.0736171456188651,-0.0327621270956434,0.198848929305271,8,0.181010719817379,-0.0275938909154191,0.496045115614268,9
"LoanOriginalAmount_num",-0.00116176804054564,-0.0014102940016975,-0.000957948367261799,1,-0.000622948158442266,-0.000743421373839163,-0.000502078485988964,2,-0.000459901041571458,-0.000532985793892696,-0.000381407335852789,3,-0.000390118130613531,-0.000462561813133883,-0.000323225783629024,4,-0.000388401392197534,-0.000451850986558136,-0.000309899646072896,5,-0.00045356676609099,-0.000535874547800925,-0.000374429902109845,6,-0.000584975562037947,-0.000680777866464262,-0.000493349365541308,7,-0.000872160780101153,-0.00100853276420389,-0.000745516320732995,8,-0.00173896779214112,-0.00195786669432312,-0.00155461943870616,9
"MonthlyLoanPayment_num",0.0279263558351709,0.0228663570123988,0.0339727527676446,1,0.0153152841329543,0.012441643222024,0.0184873194664844,2,0.0114416081257541,0.00948702683291084,0.0133086716658765,3,0.00980331098117941,0.00815413644279881,0.0115870594908526,4,0.00995660705183699,0.00800588919491754,0.0115602090856108,5,0.0118330420443476,0.00975700457643748,0.0140455782695842,6,0.0154314537205145,0.0130028214488233,0.0180319987425198,7,0.0231533074138298,0.0197906542213541,0.0266387701938957,8,0.0460404317138007,0.0412612856438195,0.0516934992925294,9
"InvestmentFromFriendsCount_num",0.16737335717465,-0.56787117510963,0.729828421034262,1,0.166062379334018,-0.166964169431085,0.482229957188555,2,0.178552719409986,-0.0248427604703645,0.373106148715721,3,0.153950492347562,-0.0414580059438863,0.352120659366713,4,0.146443126619306,-0.0300242142190827,0.366125156051132,5,0.171330821443217,-0.091140512537931,0.427958733169986,6,0.283476261833577,-0.00118139044168929,0.554340821036703,7,0.42474831101358,0.0328017621922089,0.88561041975347,8,0.841404238002797,0.227854932998341,1.4967372443385,9
"Investors_num",0.00369694962013132,0.00162075767769378,0.00571680929629452,1,0.00170844665248664,0.000583557402279028,0.00295484346340193,2,0.00116812160051695,0.000218626993123829,0.00206056053678518,3,0.00102115666830066,0.000200001691433592,0.00181175230054199,4,0.000987611722092935,8.91242225084562e-05,0.00170768226103116,5,0.000888674499030159,4.10426778277388e-05,0.00183513541548534,6,0.00100247253697434,-0.00024258981885411,0.00213649712574969,7,0.00123905446057126,-0.000162864811282424,0.00284800827505921,8,0.00263459787363506,-6.86476391506221e-05,0.00529057975732424,9
"CreditHistory_Byear",-0.00352110481600797,-0.00525731763440512,-0.00138266531736469,1,-0.0019514179589743,-0.00296031282362035,-0.00109803353858583,2,-0.00137010373897113,-0.00200402790048696,-0.000705085076763493,3,-0.00114958054165975,-0.00167206944601462,-0.000638865429126906,4,-0.00113937559853062,-0.0016439134903601,-0.000591315507317906,5,-0.0013549360171758,-0.00200129398561352,-0.000747881301848802,6,-0.0017587217961811,-0.00270809380052411,-0.000805675392631525,7,-0.00274228290595171,-0.00405541912268944,-0.00135655761386436,8,-0.00486744655963118,-0.00678283049357493,-0.00271418200062124,9
"quantile",0.1,0.1,0.1,1,0.2,0.2,0.2,2,0.3,0.3,0.3,3,0.4,0.4,0.4,4,0.5,0.5,0.5,5,0.6,0.6,0.6,6,0.7,0.7,0.7,7,0.8,0.8,0.8,8,0.9,0.9,0.9,9
